Grupo,Valor
Controle,55.84875839870518
Controle,62.31195740440567
Controle,58.219002640011865
Controle,42.00771642803548
Controle,54.120532303690666
Controle,48.23843385785042
Controle,49.26828030363651
Controle,44.34333610567749
Controle,49.06534757209995
Controle,58.57301082973589
Controle,41.37776713789415
Controle,50.16481099540595
Controle,65.65111089326925
Controle,45.30879924291011
Controle,46.076992685696105
Controle,58.16666999149859
Controle,50.763752922025645
Controle,48.9990689122444
Controle,66.23757119193883
Controle,36.63458351841944
Controle,48.64867746568865
Controle,45.21659321341738
Controle,34.05024972327758
Controle,41.31040680975416
Controle,49.672771521067226
Controle,34.72568492402118
Controle,48.75401930616798
Controle,47.38050839429276
Controle,59.953512067602944
Controle,53.17543352454215
Controle,49.61739555877418
Controle,49.31802019278694
Controle,45.57724165132175
Controle,45.207032304161814
Controle,50.515145779978106
Controle,40.25086706665472
Controle,35.66819230041223
Controle,46.409803523231695
Controle,54.542961867120894
Controle,41.94502003972195
Controle,23.05795423701887
Controle,55.010885359424634
Controle,49.953650412385635
Controle,46.07061559739787
Controle,48.447398297628055
Controle,54.497047971578155
Controle,61.875935326546
Controle,46.65409656713805
Controle,48.84763910788433
Controle,68.36600932117716
Tratamento,59.28587666923767
Tratamento,40.67888906846265
Tratamento,37.8180637196804
Tratamento,73.61175406176652
Tratamento,34.439337668054264
Tratamento,59.11274921764536
Tratamento,45.085560470732716
Tratamento,54.570565406063935
Tratamento,62.45011571216558
Tratamento,32.778528824703926
Tratamento,50.53385011740216
Tratamento,65.63250841812078
Tratamento,61.57710943901072
Tratamento,72.64163454630824
Tratamento,43.40975563722464
Tratamento,48.028043158090334
Tratamento,50.17142301738026
Tratamento,54.724638801270885
Tratamento,46.2907968703419
Tratamento,46.904068736753146
Tratamento,47.72346016387815
Tratamento,53.47892529395986
Tratamento,54.699538014743936
Tratamento,46.53660752192453
Tratamento,53.240733458185005
Tratamento,69.7997777462603
Tratamento,39.15113649245865
Tratamento,62.78579921159989
Tratamento,54.14735110122205
Tratamento,47.78977475072375
Tratamento,50.59474316152801
Tratamento,41.6434517794835
Tratamento,50.49574860182238
Tratamento,31.929530110413552
Tratamento,51.85400410027936
Tratamento,51.11116872923114
Tratamento,66.07267668060024
Tratamento,48.57846223418065
Tratamento,44.61646026202357
Tratamento,45.44548945557537
Tratamento,39.64889796869968
Tratamento,64.42320861235989
Tratamento,53.32259180464375
Tratamento,58.157242864923404
Tratamento,63.83985160734494
Tratamento,45.81684310166986
Tratamento,48.946846117113
Tratamento,55.26828948581247
Tratamento,53.81195438827315
Tratamento,42.443902782839075
